Filename: 2019-01-18 Rotation Phospho-flow Exp BAD Unstim_01_0_CD45_viSNE_UMAP_FlowSOM.fcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event #,Time,Event_length,75As,89Y_CD45,103Rh_Rh,138Ba_barium,139La,140Ce,141Pr,142Ce_CD19,143Nd,144Nd_p-PLCy2,145Nd_CD4 (v),146Nd_CD8a (v),147Sm_p-STAT5,148Sm_CD14,149Sm,150Sm,151Eu,152Sm,153Eu_p-STAT1,154Gd,155Gd,156Gd,157Gd,158Gd_p-STAT3,159Tb,160Dy,161Dy,162Dy,163Dy,164Dy,165Ho,166Er,167Er,168Er,169Tm,170Yb_CD3,171Yb,172Yb,173Yb,174Yb_HLA-DR (v),175Lu_p-STAT6,176Lu,190BCKG,191Ir_Ir,193Ir_Ir,194Pt,195Pt,209Bi_CD16 (v),Center,Offset,Width,Residual,tSNE1,tSNE2,UMAP1,UMAP2,cluster
1,100038.4531,25,0,575.5130615,1.260524392,58.27303696,0,0,0.134558946,181.0937653,1.36192441,10.36617661,0.504334092,0,5.599477291,0,0,0,0,0,4.769258499,0.641071022,0,0,0,2.14835763,0,0,0,0,0,0,0,0,0,0.914543152,0,0,0.881291449,0,2.116652012,613.2978516,3.714352846,3.865227461,1.894593835,1562.674072,2815.870361,36.72265625,16.76460266,0,889.348999,95.94000244,71.58000183,113.3929977,-92.77268982,59.68677902,9.929103851,10.26767921,1
2,100046.3438,17,0,106.5729218,3.601627111,60.47359848,2.311358213,0,0,0,0,0.278627872,0,21.33369064,1.88137269,0,0,0,0,0,0,0,0,0,0.29661572,0,0,0,0,0.865232408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365517855,1852.968506,3448.584229,43.14140701,1.978007555,132.1899872,645.7780151,90.63500214,45.83100128,82.16999817,4.894042015,104.4122696,6.351113796,-7.294892311,4
3,100065.6875,18,0,330.481781,0,70.9453125,3.729413271,0,0,0,0,0.393722385,0,2.111738443,1.63221252,0,0,0,0,0,3.947906971,0,0,0,0,8.580328941,0,0,0,0,0,0,0,0,0,0,0,7.208310127,0,0,0,0,3.964045286,0,2.497928143,1789.356689,3413.676025,42.65196228,9.672484398,51.10469055,683.3740234,95.51100159,50.98099899,76.59200287,53.835186,82.10591125,7.446543694,-4.803082943,4
4,100071.6797,21,0,401.2453613,0,55.67834091,0,0.016738519,0,0.234580725,0,0,4.484494686,315.6430664,1.14114058,0.180385858,0,0,0.074734107,0,0,0,0,0,0,0,0,0,0,8.867016792,0,0,0,0.156099528,0,0,0,52.84407425,0.203624114,0.335002869,0,2.089678049,4.601918697,0,0.156066164,1606.241699,3075.570557,45.59083557,15.58798218,0.423719049,718.9719849,98.16500092,60.99100113,69.48500061,-53.36985397,-42.08275986,-0.489215821,-11.39211464,9
5,100174.7266,20,0,539.0950928,0.552271307,53.09403992,0,0,0,0,0.241614997,1.490085483,0,375.8348694,2.817205429,0,0.111356713,1.011083841,0,0,3.042943954,0,0,0,0,0.251366913,0.010685437,0,0,12.66583729,0,0,0,1.015305996,0,0,0,105.9516602,5.508950233,0.663652182,0,0,0.59982729,0.282851726,0,1891.073242,3344.90918,30.74026108,11.22068405,0,674.2020264,89.08599854,52.96900177,92.70300293,-73.92210388,-89.80567169,-0.972253919,-13.18903065,9
6,100182.875,17,0,481.4883118,0,57.50600052,0,0,0,0,0.356174141,0,108.3835983,12.72061157,0.834387302,1.452734947,0,0,0,0,2.944048166,0,0,0,0,0,0.307819277,0,0,0,0,0,0,0,0,0.995232761,0.715921283,259.12146,0.463922173,0,2.472844124,0.205242574,0.502716243,0,0.543871939,1740.212402,3188.226563,27.95586205,8.31734848,0,560.697998,95.00299835,48.6609993,86.91799927,-1.547718287,-24.77805138,-9.302065849,2.422286749,7
7,100388.6953,24,0,368.0532227,2.204547405,61.19313431,0,0,0,0,0,8.650784492,6.28292942,3.032042503,0,306.2808228,0,0.534208417,0,1.764576793,7.486348152,0,0,0,0.848305106,4.331494808,0,1.030770898,0,0,0,1.210633755,0,0,0.737259626,0,0.859722078,0.482308775,0,0,0,35.44806671,0,0,1.106408358,2414.489746,4318.063477,27.47624969,7.369492054,0,924.78302,98.13800049,69.33599854,87.05200195,-29.60821152,25.09200096,7.908694744,4.045746803,2
8,100416.3281,25,0,537.2719116,0,58.78630829,0,0,0,4.901966572,0,0.514865935,89.92247009,3.245031357,4.212733269,0.887560368,0,0,0,0,2.567469358,0.034454037,0,0,0,5.545348644,0,0,0,1.525058508,0,0.949569345,0,0,1.061238766,1.793107033,0.933550656,241.9400482,1.104898453,0,0.862402618,2.306619644,0.63394475,0,0,1666.168701,2806.513916,21.97252846,4.278873444,0,893.8129883,88.48300171,65.02200317,98.16600037,28.98038673,-67.65680695,-7.596053123,3.771828651,7
9,100567.6563,20,0,695.9208374,0,70.07839203,0,0,0,0,0,0,110.3862152,0.942333341,0,0.451411217,0,0,0,0,0,0,0,0,0,0,0,0,0.10163065,0,0,0,0,1.061326742,0,1.854556441,0,185.2673187,3.511102676,3.26594162,0,0.712833583,0.206746295,0,2.059363842,1751.101929,2987.912109,16.41808319,14.46724224,3.962871075,721.8779907,84.14800262,50.84999847,129.0599976,22.15110016,-88.25502014,-5.608315945,4.897923946,7
10,100963.3359,19,0,691.7385864,0,54.90493011,1.582603931,0,0.621705174,0,0,0,0,168.2131042,1.899703145,0,0,0,0,0,0.833284974,0,0,0,0,0.765109777,0,0,0,6.203598499,0,0,0,0,0.393764466,1.317540288,0,204.6867676,0.478461742,0,0,0.964855969,0,0,0.852251709,1664.206421,3077.152588,43.91121292,3.57763195,0,647.7910156,82.70500183,47.75099945,131.397995,-86.4581604,-15.68250561,-1.434123755,-13.29502964,9
